Time,growth,Economy,Mood,Price,Finance
Dec-00,0.959831538,-3.708010515,1.50E-24,-0.744818697,-0.863059462
Jan-01,0.029996436,3.723213993,3.77E-24,-0.2519292,-0.99121793
Feb-01,-2.769315738,0.257412839,9.44E-24,0.267137999,-0.756707522
Mar-01,-1.314557082,0.713283265,2.36E-23,0.343456286,-0.830898586
Apr-01,-0.644658653,0.437664431,5.92E-23,0.439251975,-0.746711689
May-01,-0.328938059,0.579914319,1.48E-22,0.442815825,-0.882323743
Jun-01,-0.247708638,0.568161714,3.72E-22,0.624788263,-0.850468295
Jul-01,0.063284752,0.474254049,9.31E-22,0.878983788,-0.72167394
Aug-01,0.163045573,0.619453316,2.33E-21,1.177348696,-0.703917499
Sep-01,-0.091083921,0.455259988,5.84E-21,1.483143394,-0.636848383
Oct-01,0.613374798,0.607367083,1.46E-20,1.569387185,-0.530429795
Nov-01,0.830727254,0.949997484,3.66E-20,1.851332262,-0.54886183
Dec-01,1.329247416,-5.939616643,9.18E-20,1.990094876,-0.730449278
Jan-02,0.180474112,-6.281820025,2.30E-19,2.284269631,-0.326911343
Feb-02,2.55702381,0.736519534,5.76E-19,2.008033054,-0.452428264
Mar-02,0.235931812,0.440056499,1.44E-18,2.264949998,-0.392178188
Apr-02,-0.957613779,0.584435087,3.61E-18,2.062623385,-0.133232564
May-02,-1.99360811,0.43482229,9.05E-18,1.925202683,0.092111706
Jun-02,-2.226198296,0.661130562,2.27E-17,1.878843513,0.082360749
Jul-02,-2.634617449,0.38894066,5.68E-17,1.85169951,0.244679488
Aug-02,-2.876890596,0.663227313,1.42E-16,1.670893281,0.165931327
Sep-02,-3.72359688,0.350190503,3.56E-16,1.568106715,0.143910416
Oct-02,-4.180702938,0.704440238,8.93E-16,1.434984561,0.172654256
Nov-02,-3.834558395,0.771812869,2.24E-15,1.103231091,0.286517262
Dec-02,-2.744688538,-6.581029348,5.60E-15,0.676923653,0.204061053
Jan-03,-4.619317561,-1.11515948,1.40E-14,0.144816271,0.035343673
Feb-03,-4.983085754,0.614960721,3.51E-14,-0.362978276,0.341650675
Mar-03,-4.20538622,0.420971699,8.80E-14,-0.733281979,0.252963249
Apr-03,-3.057725321,0.597578022,2.21E-13,-0.643387529,0.079449003
May-03,-1.97447431,0.445549869,5.52E-13,-0.200814511,-0.146872888
Jun-03,-3.514631019,0.562029031,1.38E-12,0.159815852,-0.038898245
Jul-03,-3.975453209,0.465657878,3.47E-12,0.12068386,0.100239474
Aug-03,-4.377959899,0.606878314,8.68E-12,0.128533418,0.054390595
Sep-03,-3.830476996,0.354870933,2.17E-11,0.038577242,0.16097954
Oct-03,-3.895571596,0.741190358,5.45E-11,-0.089447472,0.121477314
Nov-03,-3.806930309,0.800979207,1.36E-10,-0.540029107,0.193184795
Dec-03,-2.907500336,-8.943547247,3.42E-10,-1.057694941,0.195032298
Jan-04,-1.981753879,1.816594534,8.56E-10,-1.341391884,0.325070413
Feb-04,-6.028984038,0.459398951,2.14E-09,-1.030603658,0.471637124
Mar-04,-5.639754402,0.561147258,5.37E-09,-1.426851998,0.477229061
Apr-04,-5.620287831,0.46308246,1.35E-08,-1.832009857,0.478611284
May-04,-5.69160047,0.636258392,3.37E-08,-2.056042107,0.769195907
Jun-04,-4.246898576,0.390804811,8.44E-08,-2.394251985,0.837033488
Jul-04,-3.253555091,0.577461192,2.11E-07,-2.506275621,0.858867884
Aug-04,-2.632361235,0.532468798,5.30E-07,-2.753277159,1.043353487
Sep-04,-2.577460704,0.376687421,1.33E-06,-3.073655069,0.947643047
Oct-04,-2.465744341,0.833159749,3.32E-06,-3.130540583,0.982632578
Nov-04,-2.274922774,1.016465964,8.33E-06,-2.873532111,0.837469937
Dec-04,0.733743575,-15.46903056,2.09E-05,-2.727543426,0.442685549
Jan-05,-1.404974295,-10.39040698,5.22E-05,-2.066620037,0.674578218
Feb-05,0.337297205,0.880444244,0.000130856,-2.071676452,0.509814265
Mar-05,-1.667639231,0.306011929,0.000327779,-1.800274187,0.630591107
Apr-05,-2.307303543,0.588804321,0.000821049,-1.72452415,0.631806396
May-05,-2.755015509,0.482124275,0.002056634,-1.741810535,0.548551747
Jun-05,-3.451084858,0.56544352,0.005151634,-1.416047109,0.389627967
Jul-05,-3.240582594,0.479560952,0.012904255,-1.360364931,0.220939687
Aug-05,-3.231423082,0.604345258,0.032323688,-1.314750799,0.001047587
Sep-05,-3.075944656,0.43990039,0.080967149,-0.993177467,-0.143871877
Oct-05,-2.641810827,0.621351717,0.202813472,-0.828063327,-0.227216647
Nov-05,-2.796646991,0.987249347,0.508024608,-0.522274831,-0.288599285
Dec-05,-1.022221938,-7.888450694,1.272543684,-0.642517205,-0.353581735
Jan-06,-2.344824277,0.135421085,3.187576745,-0.65827521,-0.533771907
Feb-06,-3.184861456,0.365275155,4.068317946,-0.561839367,-0.383904161
Mar-06,-3.474961758,0.613676762,3.981740031,-0.387309411,-0.374006191
Apr-06,-3.31778454,0.519387952,-0.008248403,-0.141157968,-0.443115065
May-06,-4.070353528,0.543179103,-0.739184797,-0.289949058,-0.443607
Jun-06,-3.152058362,0.507996743,-1.322955594,-0.757692529,-0.481165431
Jul-06,-3.055198357,0.556553252,0.837297788,-0.790329098,-0.555208283
Aug-06,-3.546767414,0.520041564,1.899697536,-0.747942462,-0.497330444
Sep-06,-3.561624256,0.449126458,-0.636653617,-0.851372879,-0.407520289
Oct-06,-3.920493848,0.682899212,1.017358031,-0.57380381,-0.515892781
Nov-06,-3.595431849,0.804767339,0.989174941,-0.530220729,-0.585207062
Dec-06,-2.626158509,-6.73512601,0.576849031,-0.787221219,-0.794292881
Jan-07,-3.486583311,-5.915148054,-1.047671129,-0.69124675,-0.620247937
Feb-07,-3.056664806,0.567892986,1.043401771,-0.499512435,-1.104441218
Mar-07,-3.610619493,0.556193089,1.429049664,-0.425522201,-1.057947318
Apr-07,-4.133994282,0.498239578,1.967341402,-0.449765707,-1.071670162
May-07,-4.452638231,0.516064836,2.043699808,-0.43973994,-1.076807677
Jun-07,-4.864576138,0.581148622,2.313276972,-0.349893972,-1.164301351
Jul-07,-4.81744468,0.446230304,2.096767692,-0.412472295,-1.46522662
Aug-07,-4.375902548,0.617746792,2.001379808,-0.576279853,-1.488382784
Sep-07,-3.931796728,0.407564191,3.168516133,-0.588003685,-1.624873714
Oct-07,-4.000310748,0.720455137,3.293675477,-0.821210313,-1.63669231
Nov-07,-3.446139712,0.659630572,1.646308403,-1.425546574,-1.68562424
Dec-07,-1.899487906,-5.543193297,-1.007211755,-1.986510059,-1.531103975
Jan-08,-3.069041881,-0.797536524,3.234051795,-2.168730661,-1.828137726
Feb-08,-2.833999244,0.739607387,3.239268662,-2.437845952,-1.584512084
